,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
20,20,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도,2022-08-16,14544275.0,21269843487.0,1656760760.0,2945597321.0,1551981746.0,0.0,7.79,13.85,7.3,20147573836.0,1071023615.0,1438085061.0,1305558286.0,0.0,5.32,7.14,6.48,424.0,17181009234.0,718663459.0,1525300152.0,225251027.0,0.0,4.18,8.88,1.31,16258212145.0,322846150.0,115680898.0,230908409.0,0.0,1.99,0.71,1.42,60.0,66701916607.0,2204127351.0,398796439.0,2409113986.0,165.0,10635.0,5099.0,2.66,2.2,3.99,3.25
21,21,83450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,2022-08-12,9313721.0,75384526427.0,14816056005.0,6498860512.0,12362628703.0,0.0,19.65,8.62,16.4,57186249109.0,9527423578.0,11351232578.0,8722572972.0,0.0,16.66,19.85,15.25,5308.0,77363336337.0,12822592310.0,12938804056.0,10375858620.0,0.0,16.57,16.72,13.41,67269394262.0,10788079101.0,2959008995.0,9176438020.0,0.0,16.04,4.4,13.64,4456.0,304487495915.0,46406987615.0,25550968576.0,37746419195.0,4052.0,35401.0,16251.0,11.33,18.3,14.99,24.94
22,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-08-12,16719190.0,73953498945.0,16492052951.0,7493806194.0,17810244889.0,0.0,22.3,10.13,24.08,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,4260.0,5385766786.0,-139440082.0,-16309287401.0,190274607.0,0.0,-2.59,-302.82,3.53,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,44.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,363.0,13769.0,6212.0,20.45,3.83,30.94,5.86
23,23,78150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도,2022-08-16,78998590.0,29451178810.0,-149031779.0,4904609343.0,12971033894.0,12979305495.0,-0.51,16.65,44.04,49800604975.0,1882641177.0,-3516269363.0,2913034843.0,2919524049.0,3.78,-7.06,5.85,656.0,40300192824.0,-7085734750.0,-15483280804.0,-5963422713.0,-6366315676.0,-17.58,-38.42,-14.8,49028308474.0,-5082260562.0,-8373650079.0,-621739092.0,-2437894450.0,-10.37,-17.08,-1.27,-300.0,158891163240.0,-22453000633.0,-19094882521.0,11534757769.0,146.0,4786.0,2284.0,9.03,4.13,13.71,6.39
24,24,195940,KOSDAQ,HK이노엔,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09,12월,곽달원,http://www.inno-n.com,서울특별시,2022-08-16,28911287.0,251865943821.0,17657871578.0,4011183534.0,13484117950.0,0.0,7.01,1.59,5.35,180212675175.0,4230235284.0,-11173228817.0,7396828643.0,0.0,2.35,-6.2,4.1,1864.0,184930695085.0,2960018370.0,101039298.0,-897421153.0,0.0,1.6,0.05,-0.49,186838260894.0,13034622711.0,4421760466.0,8316499130.0,0.0,6.98,2.37,4.45,-124.0,769785555465.0,50322840434.0,26795888949.0,24735951932.0,855.0,78555.0,39809.0,1.5,1.35,2.37,2.15
25,25,28300,KOSDAQ,HLB,선박 및 보트 건조업,"구명정, GRP/GRE PIPPE",1996-07-27,12월,"진양곤, 김동건 (각자대표)",http://www.hlbkorea.com,울산광역시,2022-08-16,106931281.0,57791933158.0,-13597996576.0,-33915122068.0,6282902369.0,0.0,-23.53,-58.68,10.87,65512783818.0,-6497821044.0,-14217861830.0,-15755070640.0,0.0,-9.92,-21.7,-24.05,232.0,8393039545.0,-20993277151.0,-28656912636.0,-31912974620.0,0.0,-250.13,-341.44,-380.23,7563784790.0,-18763640333.0,-13731789649.0,-18409055992.0,0.0,-248.07,-181.55,-243.38,-1192.0,69825991454.0,-101018424284.0,-54765398832.0,-98125465674.0,-917.0,9704.0,4789.0,1.58,-13.19,2.39,-19.16
26,26,67630,KOSDAQ,HLB생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업","ESCO 사업, 신재생에너지 사업",2008-11-25,12월,"진양곤, 남상우 (각자대표)",http://www.hlb-ls.com,경기도,2022-08-12,95478333.0,15868220416.0,-4753691376.0,-3942767169.0,6594735170.0,0.0,-29.96,-24.85,41.56,15959356038.0,-1053822111.0,-1144544510.0,-10367498490.0,0.0,-6.6,-7.17,-64.96,276.0,13648909589.0,-3244317196.0,5264872391.0,-16616501320.0,0.0,-23.77,38.57,-121.74,10605785834.0,-2652366739.0,3521188257.0,-15473935138.0,0.0,-25.01,33.2,-145.9,-696.0,53494248129.0,-18480404264.0,-14084072136.0,-49151656070.0,-514.0,5214.0,2582.0,4.23,-18.15,5.29,-19.93
27,27,47920,KOSDAQ,HLB제약,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정",2015-12-21,12월,"박재형, 전복환 각자대표",http://www.hlbpharma.co.kr,경기도,2022-08-16,26621206.0,22180408566.0,-286514123.0,-139214004.0,-1960525586.0,0.0,-1.29,-0.63,-8.84,20074700904.0,-2084317424.0,740782462.0,-3328177034.0,0.0,-10.38,3.69,-16.58,-292.0,14453201158.0,174589013.0,1408666415.0,-5502024709.0,0.0,1.21,9.75,-38.07,13686874620.0,6187097.0,-1232635202.0,-3307760991.0,0.0,0.05,-9.01,-24.17,-824.0,62852783788.0,486237463.0,-1321335067.0,-13225622111.0,-496.0,6244.0,2944.0,-3.04,-10.36,-4.68,-16.87
28,28,36640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도,2022-08-12,16356571.0,22434345852.0,3439382000.0,9403429332.0,2719281348.0,0.0,15.33,41.92,12.12,23474953998.0,3758904453.0,5851080086.0,3026831355.0,0.0,16.01,24.92,12.89,664.0,19435593356.0,3444829492.0,1793089118.0,9338077451.0,0.0,17.72,9.23,48.05,17836739126.0,3118280105.0,2669489894.0,2724311371.0,0.0,17.48,14.97,15.27,2280.0,84061099648.0,17942444421.0,-1437076522.0,20820918902.0,1272.0,12314.0,6081.0,4.56,17.25,5.39,20.93
29,29,95340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,"김정렬, 김상욱 (각자 대표이사)",http://isc21.kr,경기도,2022-08-16,17398886.0,54713089584.0,22643400386.0,19919454409.0,20748986412.0,0.0,41.39,36.41,37.92,41719739145.0,15888363883.0,3698656221.0,13928813777.0,0.0,38.08,8.87,33.39,4768.0,34385323505.0,13370146667.0,9766483061.0,11749603707.0,0.0,38.88,28.4,34.17,36550675721.0,6549606917.0,4768264632.0,5671066438.0,0.0,17.92,13.05,15.52,2700.0,144669824213.0,37517372870.0,39254158334.0,30247475065.0,1738.0,28878.0,12792.0,13.03,11.56,16.51,13.59
