,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
427,86670,KOSDAQ,비엠티,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)",2007-11-02,12월,윤종찬,http://superlok.com,경상남도,2022-08-16,8146317,38439668003,8693234946,3407941368,7392064620,0,22.62,8.87,19.23,25053438872,4081073982,6918501990,3597330474,0,16.29,27.61,14.36,3628,28862884364,1458087568,-1991036519,1474714216,0,5.05,-6.9,5.11,25579065608,3509209976,-1217030244,4127680435,0,13.72,-4.76,16.14,724,107948865273,4618606421,-800095927,5755888210,706,21441,9945,7.07,3.09,16.92,7.1
428,335890,KOSDAQ,비올,의료용 기기 제조업,의료기기,2019-12-03,12월,이상진,http://www.viol.co.kr,경기도,2022-08-12,58130880,7841329538,2988479697,4185278186,3393731284,0,38.11,53.37,43.28,5095970078,1373070634,775928965,1332977096,0,26.94,15.23,26.16,232,4386397120,1501706728,2264532335,880888541,0,34.24,51.63,20.08,2740810466,117521922,102680023,319163340,0,4.29,3.75,11.64,60,18372722945,5412299380,7967058066,4436754170,76,1032,456,20.35,14.84,22.46,16.73
429,138580,KOSDAQ,비즈니스온,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌),2017-11-30,12월,"라민상, 강민철, 이병두(공동대표이사)",http://www.businesson.co.kr,서울특별시,2022-08-16,22556483,11483742620,3023180430,9832767998,2447386323,0,26.33,85.62,21.31,10518255282,2956251221,2234987855,1545159291,0,28.11,21.25,14.69,432,8036705672,2426387542,4546595495,2207581463,0,30.19,56.57,27.47,8645943394,2302962780,625917556,2321592361,0,26.64,7.24,26.85,388,33526682409,8991476604,10525027136,6238341374,276,5767,2828,5.03,8.52,7.49,9.78
430,82920,KOSDAQ,비츠로셀,일차전지 및 축전지 제조업,리튬1차전지,2009-10-28,12월,장승국,http://www.vitzrocell.com,충청남도,2022-08-16,21540642,33283592609,5498091874,10096346329,7177161382,0,16.52,30.33,21.56,21530822205,3307484267,6500722675,3782688427,0,15.36,30.19,17.57,1332,32403547056,6755088376,13191295263,5410356940,0,20.85,40.71,16.7,24040378661,4599643417,9521480542,5289854256,0,19.13,39.61,22.0,1004,113249924593,17422339204,25156496971,17021473137,790,15878,7740,6.69,8.25,8.39,10.21
431,54220,KOSDAQ,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템",2001-12-26,03월,이기재,http://www.vitzrosys.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,42370,KOSDAQ,비츠로테크,기타 금융업,"차단기, 개폐기",2000-08-03,12월,"장순상, 유병언, 장범수(각자대표)",http://www.vitzrotech.com,경기도,2022-08-16,26198861,85592215006,5874952674,497801647,3506875424,8130008734,6.86,0.58,4.1,64792480094,1700678314,-1583827166,-369823097,0,2.62,-2.44,-0.57,532,79482633152,7115912601,12880242362,1453198888,4979411533,8.95,16.21,1.83,75184009340,7001280289,7526925911,4603904684,0,9.31,10.01,6.12,220,323802581306,26075204578,30764392294,23602526274,900,24325,12075,1.49,5.18,2.19,7.46
433,307870,KOSDAQ,비투엔,소프트웨어 개발 및 공급업,"데이터컨설팅, 품질관리 솔루션",2018-12-12,12월,조광원,http://www.b2en.com,서울특별시,2022-08-16,30702708,5439491598,-1010099295,-1270682876,-783032931,0,-18.57,-23.36,-14.4,5005749611,-1141217116,-1342917544,-1411153911,0,-22.8,-26.83,-28.19,-100,5554629781,286333769,-596496468,244243968,0,5.15,-10.74,4.4,4480636317,-193507578,-840740436,-240215218,0,-4.32,-18.76,-5.36,28,25775165233,2246853648,-415163234,-1769123281,-57,1078,591,-4.06,-6.0,-9.27,-9.74
434,357880,KOSDAQ,비트나인,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",2021-11-10,12월,강철순,http://bitnine.net,서울특별시,2022-08-16,10353602,4616795104,620794135,2070337598,817879697,0,13.45,44.84,17.72,4120499065,960150609,-855070820,950210637,0,23.3,-20.75,23.06,312,3745507427,306965968,-2348086148,283390101,0,8.2,-62.69,7.57,4497744075,521744663,-1334124340,511619299,0,11.6,-29.66,11.38,108,16414865507,1182836785,-2670987186,1165301276,112,6905,3226,4.17,3.31,4.52,3.49
435,32850,KOSDAQ,비트컴퓨터,소프트웨어 개발 및 공급업,의료정보시스템,1997-07-04,12월,"전 진 옥, 조 현 정",http://www.bit.co.kr,서울특별시,2022-08-12,16620953,9374310308,1450002846,3348634946,1501352706,0,15.47,35.72,16.02,8494920619,1278793890,1523767029,1031359676,0,15.05,17.94,12.14,360,9489372595,1215747182,1568197949,1390665900,0,12.81,16.53,14.65,7937863418,1315913465,-121313207,1073788097,0,16.58,-1.53,13.53,332,36433517678,6408586655,6408339977,4842088896,291,7212,3548,4.11,6.75,4.99,8.21
436,238200,KOSDAQ,비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,2018-12-26,12월,신용철,http://bifido.com,강원도,2022-08-16,8182134,2651079312,86914587,637623553,140798581,0,3.28,24.05,5.31,3621315039,671264830,-51763336,669468839,0,18.54,-1.43,18.49,68,3370205785,-349378520,525694598,-179704053,0,-10.37,15.6,-5.33,2946864699,-165978805,399129369,5618709400,0,-5.63,13.54,190.67,-84,12116670288,-1017448052,2036083229,4493457645,549,12580,6189,0.51,8.22,0.54,8.87
