,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
779,779,217820,KOSDAQ,엔에스,특수 목적용 기계 제조업,2차전지 자동화 설비,2015-12-07,12월,이기채,http://www.cns2.co.kr,충청북도,2022-05-16,3898735646.0,-1501124139.0,-6712532944.0,-705822615.0,0.0,-38.5,-172.17,-18.1,6677503024.0,-1174815348.0,10023278442.0,2696175302.0,0.0,-17.59,150.11,40.38,-244.0,4658353246.0,66564708.0,5873755913.0,902308422.0,0.0,1.43,126.09,19.37,24854159534.0,3252378612.0,-161967477.0,1486074396.0,0.0,13.09,-0.65,5.98,312.0,46214637706.0,2350490799.0,10860469675.0,7964584521.0,691.0,4864.0,4671.0,-2.19,6.48,-5.02,14.81
780,780,31860,KOSDAQ,엔에스엔,상품 종합 도매업,FLC,1997-01-07,12월,"이상욱, 윤명섭 (각자 대표이사)",http://www.a-motion.co.kr,서울특별시,2022-05-16,2108936175.0,-3140595231.0,-3943498237.0,-4647072107.0,0.0,-148.92,-186.99,-220.35,4453420413.0,-617318715.0,-4785061827.0,-3781231791.0,-3629770212.0,-13.86,-107.45,-84.91,-268.0,6956540413.0,-2360380110.0,-2827859078.0,-4336597236.0,0.0,-33.93,-40.65,-62.34,2699027777.0,-1986258652.0,-1088287836.0,-7234020599.0,-8230250090.0,-73.59,-40.32,-268.02,-248.0,25439380580.0,-8640374457.0,-12318997593.0,-15303322964.0,-222.0,705.0,564.0,-28.01,-23.36,-37.96,-39.4
781,781,265740,KOSDAQ,엔에프씨,기타 화학제품 제조업,화장품 원료 제조 및 판매,2020-12-02,12월,유우영,http://nfccosmetics.co.kr,인천광역시,2022-05-13,7302493182.0,661031024.0,-608482103.0,609271583.0,0.0,9.05,-8.33,8.34,8795128205.0,486217523.0,529555240.0,1520911817.0,0.0,5.53,6.02,17.29,272.0,10185355210.0,1629821757.0,2309697785.0,-261892361.0,0.0,16.0,22.68,-2.57,9133466426.0,838353427.0,2044760347.0,-2030891042.0,0.0,9.18,22.39,-22.24,-116.0,40414881817.0,5763958052.0,5613324640.0,6144235431.0,687.0,6411.0,6278.0,3.91,8.99,4.24,10.96
782,782,354200,KOSDAQ,엔젠바이오,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",2020-12-10,12월,최대출,http://ngenebio.com,서울특별시,2022-05-26,4152417514.0,-1721687892.0,-2161035944.0,-1625719200.0,0.0,-41.46,-52.04,-39.15,2841251465.0,-1677762127.0,-1936165026.0,-1585476789.0,0.0,-59.05,-68.14,-55.8,-520.0,1102136139.0,-2239706397.0,-2458175298.0,-2246909544.0,0.0,-203.22,-223.04,-203.87,1124670250.0,-1731327215.0,-1678013270.0,-1725153003.0,0.0,-153.94,-149.2,-153.39,-720.0,7163197293.0,-8731828142.0,-7523168628.0,-8431082032.0,-678.0,2503.0,2735.0,-15.87,-19.22,-20.77,-24.8
783,783,208860,KOSDAQ,엔지스테크널러지,소프트웨어 개발 및 공급업,"Nav-Link 솔루션, BringGo 어플리케이션 등",2016-07-28,12월,박용선,http://www.engistech.com,서울특별시,2022-05-16,482757828.0,-1105199031.0,37286945.0,-1111661537.0,0.0,-228.93,7.72,-230.27,-29952953677.0,-8522479432.0,-284330173.0,-2521372868.0,0.0,28.45,0.95,8.42,-388.0,221493745.0,-1563258293.0,2377379207.0,2748719681.0,0.0,-705.78,1073.34,1240.99,-20838168576.0,-6392108176.0,-2171309906.0,3750880421.0,0.0,30.67,10.42,-18.0,960.0,4784367295.0,-2670429593.0,5226195181.0,-5433059945.0,-474.0,-2376.0,538.0,21.65,-15.5,16.33,-88.15
784,784,183490,KOSDAQ,엔지켐생명과학,기초 의약물질 및 생물학적 제제 제조업,"EC-18(신약), 원료의약품",2018-02-21,12월,손기영,http://www.enzychem.co.kr,충청북도,2022-05-16,6779018291.0,-4542108517.0,-6541374353.0,-6406486818.0,0.0,-67.0,-96.49,-94.5,6490568982.0,-5208378073.0,-7244603346.0,-7314969938.0,0.0,-80.25,-111.62,-112.7,-1836.0,5247726755.0,-5512435024.0,-6526688196.0,-7119184781.0,0.0,-105.04,-124.37,-135.66,3952074756.0,-6652243220.0,-4562321278.0,-4393679465.0,0.0,-168.32,-115.44,-111.17,-2040.0,22975498508.0,-20753516316.0,-18588946246.0,-27864832842.0,-2000.0,15403.0,5358.0,-9.31,-20.94,-11.92,-37.32
785,785,182400,KOSDAQ,엔케이맥스,기초 의약물질 및 생물학적 제제 제조업,"연구용 시약, NK Vue® KIT, SuperNK",2015-10-23,12월,박상우,http://www.nkmax.com,경기도,2022-05-16,2642137982.0,-11223206595.0,-9030214185.0,-12783577463.0,0.0,-424.78,-341.78,-483.83,3901210110.0,-13586531540.0,-8146147232.0,-16993829975.0,0.0,-348.26,-208.81,-435.6,-1288.0,2891415706.0,-9982637925.0,-6490055245.0,-12562117838.0,0.0,-345.25,-224.46,-434.46,3485881646.0,-10276147391.0,-8486343544.0,-7552673803.0,0.0,-294.79,-243.45,-216.66,-1264.0,13020252251.0,-47440426375.0,-34155324138.0,-50336082714.0,-1269.0,2798.0,3024.0,-32.86,-27.87,-46.03,-41.98
786,786,348370,KOSDAQ,엔켐,기초 화학물질 제조업,2차전지 전해액,2021-11-01,12월,오정강,http://www.enchem.net,충청북도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,787,69410,KOSDAQ,엔텔스,소프트웨어 개발 및 공급업,운용지원솔루션,2007-06-20,12월,최영래,http://www.ntels.com,서울특별시,2022-05-16,10713174522.0,-668657963.0,-7444135834.0,-335383851.0,0.0,-6.24,-69.49,-3.13,23914899449.0,4544983679.0,5701348443.0,3360171106.0,0.0,19.0,23.84,14.05,-128.0,8768120078.0,-864054712.0,2280381887.0,759122895.0,0.0,-9.85,26.01,8.66,21875937366.0,3907655791.0,-2104574765.0,2961750339.0,0.0,17.86,-9.62,13.54,296.0,57500385664.0,2446137285.0,9318289056.0,4176307619.0,407.0,5360.0,5180.0,-1.98,6.16,-2.39,7.87
788,788,227950,KOSDAQ,엔투텍,특수 목적용 기계 제조업,반도체장비 부품 제조업,2015-11-18,12월,"김정민, 이욱재(각자대표)",http://www.n2tech.kr,경기도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
