,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Industy_Code,Industy_Name
63,063440,KOSDAQ,SM Life Design,기록매체 복제업,"추첨식복권 제조, 일반출판 인쇄, CD ·DVD 복제",2002-05-30,12월,신숭복,http://smlifedesign.com,경기도,18000,인쇄 및 기록매체 복제업
64,089230,KOSDAQ,THE E&M,기타 정보 서비스업,인터넷 개인방송 플랫폼,2006-10-10,12월,"신환률, 김대권(각자대표)",http://www.theenm.com,서울특별시,63000,정보서비스업
65,161570,KOSDAQ,THE MIDONG,영상 및 음향기기 제조업,"차량용 블랙박스, 차량운행보조시스템",2013-11-13,12월,후성양(HU SHENGYANG),http://www.the-midong.com,서울특별시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
66,192410,KOSDAQ,THQ,통신 및 방송 장비 제조업,"기지국 안테나, 인바운드플랫폼",2014-08-14,12월,"김상기, 위청드어 공동 대표이사",http://www.thehqco.com,서울특별시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
67,032540,KOSDAQ,TJ미디어,영상 및 음향기기 제조업,영상음향반주기,1997-04-16,12월,윤나라,http://www.tjmedia.co.kr/,서울특별시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
68,048770,KOSDAQ,TPC,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)",2001-01-16,12월,"엄주섭, 엄재윤",http://www.TPCpage.com,인천광역시,29000,기타 기계 및 장비 제조업
69,038340,KOSDAQ,UCI,일반 교습 학원,캐패시터,2001-11-22,12월,김병양,http://www.ucigroup.co.kr,서울특별시,85000,교육 서비스업
70,073570,KOSDAQ,WI,그외 기타 제품 제조업,Wafer Burn In Test 장비,2004-01-06,12월,변익성(단독대표),http://www.at-tech.co.kr,충청남도,33000,기타 제품 제조업
71,057030,KOSDAQ,YBM넷,교육지원 서비스업,"온라인교육, 수수료수입 등",2004-06-08,12월,오재환,http://www.ybmsisa.com,경기도,85000,교육 서비스업
72,040300,KOSDAQ,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고/협찬 및 프로그램 제작,2001-09-04,12월,우장균,http://www.ytn.co.kr,서울특별시,59000,영상·오디오 기록물 제작 및 배급업
73,051390,KOSDAQ,YW,상품 종합 도매업,도소매,2001-11-15,12월,우병일,http://www.ywtc.com,경기도,46000,도매 및 상품중개업
74,052220,KOSDAQ,iMBC,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","디지털콘텐츠,웹에이젼시",2005-01-21,12월,박태경,http://corp.imbc.com,서울특별시,58000,출판업
75,079940,KOSDAQ,가비아,소프트웨어 개발 및 공급업,"도메인,호스팅",2005-10-19,12월,김홍국,http://www.gabia.com,경기도,58000,출판업
76,078890,KOSDAQ,가온미디어,통신 및 방송 장비 제조업,디지털셋톱박스,2005-07-12,12월,임화섭,http://www.kaonmedia.com,경기도,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
77,036620,KOSDAQ,감성코퍼레이션,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,김호선,http://www.virtualtek.co.kr,서울특별시,46000,도매 및 상품중개업
78,217730,KOSDAQ,강스템바이오텍,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제,2015-12-21,12월,나종천,http://www.kangstem.com,서울특별시,21000,의료용 물질 및 의약품 제조업
79,114190,KOSDAQ,강원에너지,"구조용 금속제품, 탱크 및 증기발생기 제조업",플랜트설비(산업용 보일러),2009-11-20,12월,이인환,http://kwb21.com,전라북도,25000,금속가공제품 제조업;기계 및 가구 제외
80,094480,KOSDAQ,갤럭시아머니트리,소프트웨어 개발 및 공급업,전자결제,2007-07-20,12월,신동훈,http://www.galaxiamoneytree.co.kr,서울특별시,58000,출판업
81,063080,KOSDAQ,게임빌,소프트웨어 개발 및 공급업,모바일게임,2009-07-30,12월,이용국,http://www.gamevil.com,서울특별시,58000,출판업
82,039240,KOSDAQ,경남스틸,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등",2000-03-07,12월,최석우,http://www.ksteel.co.kr,경상남도,24000,1차 금속 제조업
83,053950,KOSDAQ,경남제약,의약품 제조업,PCB 드릴가공,2001-11-06,12월,오성원,http://www.kyungnampharm.co.kr,경상남도,21000,의료용 물질 및 의약품 제조업
84,223310,KOSDAQ,경남제약헬스케어,소프트웨어 개발 및 공급업,"블랙박스, 내비게이션, 로봇청소기, 드론",2015-12-24,12월,조헌정,http://www.esv.co.kr,서울특별시,58000,출판업
85,011040,KOSDAQ,경동제약,의약품 제조업,"듀오로반정, 발디핀정, 아트로반정 등",1992-12-18,12월,류기성,http://www.kdpharma.co.kr,경기도,21000,의료용 물질 및 의약품 제조업
86,024910,KOSDAQ,경창산업,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품",1994-12-29,12월,"손일호,이동현",http://www.kc.co.kr,대구광역시,30000,자동차 및 트레일러 제조업
87,198440,KOSDAQ,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘",2014-08-13,12월,구희택,http://koreacement.co.kr,전라남도,23000,비금속 광물제품 제조업
88,049720,KOSDAQ,고려신용정보,기타 사업지원 서비스업,"채권추심, 신용조사",2002-01-31,12월,윤태훈,http://www.koryoinfo.co.kr,서울특별시,75000,사업지원 서비스업
89,014570,KOSDAQ,고려제약,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등",2000-12-07,12월,"박해룡, 박상훈 (각자대표)",http://www.nicepharma.com,경기도,21000,의료용 물질 및 의약품 제조업
90,098460,KOSDAQ,고영,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비,2008-06-03,12월,고광일,http://www.kohyoung.com,서울특별시,29000,기타 기계 및 장비 제조업
91,035290,KOSDAQ,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,"신필순,양홍걸(각자 대표이사)",http://www.wfminc.co.kr,서울특별시,58000,출판업
92,038530,KOSDAQ,골드퍼시픽,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등",2000-06-09,12월,조정영,http://www.corecross.com,서울특별시,46000,도매 및 상품중개업
93,215000,KOSDAQ,골프존,소프트웨어 개발 및 공급업,골프시뮬레이터,2015-04-03,12월,"최덕형, 박강수",http://www.golfzon.com,서울특별시,58000,출판업
94,121440,KOSDAQ,골프존뉴딘홀딩스,상품 중개업,골프시뮬레이터,2011-05-20,12월,최덕형,http://company.golfzon.com,서울특별시,46000,도매 및 상품중개업
95,014200,KOSDAQ,광림,자동차용 엔진 및 자동차 제조업,"전기공사용 특수차량 및 중량물 운반용 크레인을 생산, 판매하는 제조업체",1993-07-07,12월,성석경,http://www.kanglim.com,충청북도,30000,자동차 및 트레일러 제조업
96,026910,KOSDAQ,광진실업,1차 철강 제조업,마봉,1996-01-03,12월,"허유석, 허정도",http://www.kjsteel.co.kr,부산광역시,24000,1차 금속 제조업
97,090150,KOSDAQ,광진윈텍,자동차 신품 부품 제조업,시트히터,2006-10-20,12월,"신규진, 조병호(각자대표이사)",http://www.kwangjinwintec.com,부산광역시,30000,자동차 및 트레일러 제조업
98,053270,KOSDAQ,구영테크,자동차 신품 부품 제조업,엔진 브라켓(Engine Bracket) 등,2002-02-07,12월,이희화,http://www.guyoungtech.com,대구광역시,30000,자동차 및 트레일러 제조업
99,066620,KOSDAQ,국보디자인,실내건축 및 건축마무리 공사업,인테리어디자인,2002-09-05,12월,황창연,http://www.ikukbo.com,서울특별시,42000,전문직별 공사업
100,043650,KOSDAQ,국순당,알코올음료 제조업,탁주 및 약주,2000-08-24,12월,배상민,http://www.ksdb.co.kr,강원도,11000,음료제조업
101,006050,KOSDAQ,국영지앤엠,유리 및 유리제품 제조업,강화유리,1994-10-07,12월,최재원,http://www.kukyong.com,서울특별시,23000,비금속 광물제품 제조업
102,060480,KOSDAQ,국일신동,1차 비철금속 제조업,황동봉,2014-12-29,12월,"김연경,손장원 (각자대표)",http://www.kukilmetal.com,경기도,24000,1차 금속 제조업
103,078130,KOSDAQ,국일제지,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)",2004-10-22,12월,"이용호, 최우식 (각자 대표)",http://www.kukilpaper.co.kr,경기도,17000,"펄프, 종이 및 종이제품 제조업"
104,900070,KOSDAQ,글로벌에스엠,기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",2009-12-23,12월,나윤복,http://www.globalsmtech.com,케이맨 제도,64000,금융업
105,204620,KOSDAQ,글로벌텍스프리,금융 지원 서비스업,환급창구운영사업,2014-11-19,12월,강진원,http://global-taxfree.com,서울특별시,64000,금융업
106,019660,KOSDAQ,글로본,상품 종합 도매업,화장품 외,1992-06-04,12월,한상호,http://www.globon.co.kr,서울특별시,46000,도매 및 상품중개업
107,053260,KOSDAQ,금강철강,1차 철강 제조업,"냉연압연강판, 산세코일",2002-01-04,12월,"주광남, 주성호(각자 대표)",http://www.kksteel.co.kr,서울특별시,24000,1차 금속 제조업
