,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_6,Quarter_Operating_Profit2019_6,Quarter_Cashflow2019_6,Quarter_Earn2019_6,Quarter_Continue_Earn2019_6,Quarter_Percent_Operating_Profit2019_6,Quarter_Percent_Cashflow2019_6,Quarter_Percent_Earn2019_6,Quarter_Revenue2019_3,Quarter_Operating_Profit2019_3,Quarter_Cashflow2019_3,Quarter_Earn2019_3,Quarter_Continue_Earn2019_3,Quarter_Percent_Operating_Profit2019_3,Quarter_Percent_Cashflow2019_3,Quarter_Percent_Earn2019_3,Quarter_Full_EPS,Last_Revenue2018_6,Last_Operating_Profit2018_6,Last_Cashflow2018_6,Last_Earn2018_6,Last_Continue_Earn2018_6,Last_Percent_Operating_Profit2018_6,Last_Percent_Cashflow2018_6,Last_Percent_Earn2018_6,Last_Revenue2018_3,Last_Operating_Profit2018_3,Last_Cashflow2018_3,Last_Earn2018_3,Last_Continue_Earn2018_3,Last_Percent_Operating_Profit2018_3,Last_Percent_Cashflow2018_3,Last_Percent_Earn2018_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
10,10,15590,KOSPI,큐로,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,12월,서상훈,http://www.curo.co.kr,울산광역시,2019-08-08,42283854869.0,8336046142.0,17053286696.0,600444018.0,0.0,19.71,40.33,1.42,31472751280.0,2096619606.0,6814272027.0,2326723783.0,0.0,6.66,21.65,7.39,8.0,24134076451.0,-1005522621.0,-8586193199.0,6034037518.0,0.0,-4.17,-35.58,25.0,20657850796.0,-2238618719.0,-6721739895.0,-12818170255.0,0.0,-10.84,-32.54,-62.05,104.0,90218429966.0,-15447300496.0,3140947658.0,-16268117497.0,-70.0,636.0,301.0,0.44,-8.25,1.26,-23.37,23.880000000000003,17.5,75.20394847032964,
113,113,75580,KOSPI,세진중공업,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,12월,최양환,http://www.sejinheavy.com,울산광역시,2019-08-09,91111150125.0,4841090061.0,-4636549896.0,2208143091.0,2208143091.0,5.31,-5.09,2.42,64895727712.0,3023593861.0,-9047760199.0,1478310217.0,1478310217.0,4.66,-13.94,2.28,152.0,52009994034.0,2929886473.0,5664220804.0,1072818812.0,1072818812.0,5.63,10.89,2.06,38033071230.0,-2449757783.0,10018985440.0,-3334305471.0,-3334305471.0,-6.44,26.34,-8.77,72.0,218222361073.0,8379607603.0,21018410648.0,1768188386.0,31.0,5593.0,2785.0,1.07,0.48,2.72,1.12,-0.3200000000000003,11.1,75.18008186164907,
79,79,100840,KOSPI,SNT에너지,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22,12월,신경인,http://www.hisnt.com,경상남도,2019-08-12,59987801016.0,6637803131.0,-7109045111.0,7448885062.0,0.0,11.07,-11.85,12.42,33255804330.0,2048957356.0,954860810.0,3309795639.0,0.0,6.16,2.87,9.95,3968.0,36213513820.0,1218684236.0,17787467793.0,5609554739.0,0.0,3.37,49.12,15.49,35371021646.0,1006590057.0,19217508416.0,745503555.0,0.0,2.85,54.33,2.11,2988.0,139516395746.0,-1892190780.0,14435813480.0,1825479187.0,243.0,63551.0,30807.0,4.83,0.65,6.24,0.79,7.7,3.31,65.650318591481,
86,86,17040,KOSPI,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",1990-09-14,12월,"이재광,조광식",http://www.kmec.co.kr,경기도,2019-08-14,43761466322.0,2486931864.0,11658210817.0,2582870897.0,2582870897.0,5.68,26.64,5.9,31207956903.0,1202959038.0,8938318070.0,962394837.0,962394837.0,3.85,28.64,3.08,236.0,26431708664.0,-32886052.0,4387411370.0,1849358950.0,1813106760.0,-0.12,16.6,7.0,22290312173.0,211156078.0,6656112634.0,208899763.0,135645806.0,0.95,29.86,0.94,168.0,114110653583.0,3257515608.0,-3815892525.0,2608606874.0,60.0,4657.0,2278.0,3.15,1.72,5.07,2.64,5.8,2.9000000000000004,65.56427311717134,
26,26,17550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,"김병현, 정석현(각자 대표이사)",http://www.soosan.co.kr,경기도,2019-08-14,41709323790.0,3754065784.0,6431577284.0,1266804528.0,0.0,9.0,15.42,3.04,37176070399.0,1872290926.0,8985893500.0,1351904897.0,0.0,5.04,24.17,3.64,92.0,25960074682.0,626841457.0,708562534.0,774042333.0,0.0,2.41,2.73,2.98,23726903212.0,462026310.0,1243359931.0,507212158.0,0.0,1.95,5.24,2.14,56.0,84621622393.0,423307815.0,2322929862.0,6651218858.0,123.0,3758.0,1833.0,1.18,3.25,2.45,6.72,6.59,3.09,60.66719491727848,
6,6,7120,KOSPI,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시,2019-08-14,2385664152.0,-89522414.0,-1188609260.0,2141987214.0,0.0,-3.75,-49.82,89.79,1604911908.0,-104102280.0,-44427958.0,256712499.0,0.0,-6.49,-2.77,16.0,64.0,1573158674.0,-404179019.0,-2399100638.0,-29285402.0,0.0,-25.69,-152.5,-1.86,1165396887.0,-583587694.0,-3045986554.0,-420823333.0,0.0,-50.08,-261.37,-36.11,0.0,6445365978.0,-1423528961.0,-3032397382.0,-10843234790.0,-83.0,874.0,425.0,6.91,-18.83,7.32,-19.67,21.94,43.59,51.64803089659601,
121,121,3520,KOSPI,영진약품,의약품 제조업,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매",1973-06-25,12월,이재준,http://www.yungjin.co.kr,서울특별시,2019-08-14,59049676967.0,4532361209.0,-1191978642.0,3451797574.0,0.0,7.68,-2.02,5.85,52944471716.0,2215249813.0,-2033561253.0,1745108047.0,0.0,4.18,-3.84,3.3,72.0,38997178823.0,-2518986053.0,4749626023.0,-2152296525.0,0.0,-6.46,12.18,-5.52,48027345412.0,1177602299.0,8193878610.0,343944877.0,0.0,2.45,17.06,0.72,-44.0,186408689480.0,-2187346206.0,1274179077.0,-6100940110.0,-33.0,1258.0,610.0,3.19,-3.11,5.72,-5.47,14.14,1.7299999999999995,51.42038154866042,
16,16,1880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시,2019-08-14,357053034948.0,45743849037.0,57319629803.0,34851067249.0,0.0,12.81,16.05,9.76,304820704535.0,35771057795.0,47006301823.0,29891937435.0,0.0,11.74,15.42,9.81,6320.0,242524878838.0,25463309509.0,-3583076765.0,18235441127.0,0.0,10.5,-1.48,7.52,162462778662.0,9363699381.0,-39479287797.0,7517641936.0,0.0,5.76,-24.3,4.63,3304.0,965572042704.0,90903403942.0,87109217540.0,64533986454.0,2926.0,37285.0,16668.0,7.78,8.11,16.95,17.55,2.3100000000000005,5.98,47.22326082945976,
1,1,119650,KOSPI,KC코트렐,일반 목적용 기계 제조업,전기집진기 등,2010-01-29,12월,김태우,http://www.kc-cottrell.com/,서울특별시,2019-08-14,50018839107.0,38350.0,-3523554629.0,-127175038.0,0.0,0.0,-7.04,-0.25,56034109730.0,175247866.0,9212850705.0,364090502.0,0.0,0.31,16.44,0.65,-28.0,34281264977.0,-1842097159.0,-2593318156.0,2164263406.0,0.0,-5.37,-7.56,6.31,28653129980.0,-4350984552.0,-8096434069.0,-1858490126.0,0.0,-15.19,-28.26,-6.49,488.0,182043907809.0,3741209346.0,-6770412362.0,4165591291.0,236.0,8729.0,4415.0,-0.11,1.9,-0.32,5.36,5.37,15.5,45.90721532755183,
19,19,490,KOSPI,대동,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1975-06-27,12월,"김준식, 원유현",http://www.daedong.co.kr,대구광역시,2019-08-14,281556135462.0,22564695211.0,9653503756.0,17443891764.0,0.0,8.01,3.43,6.2,205704268204.0,11040988902.0,2207064966.0,8856003936.0,0.0,5.37,1.07,4.31,2940.0,195570288547.0,11061110269.0,-35568638830.0,7732905165.0,0.0,5.66,-18.19,3.95,178223341023.0,6749490290.0,-29856035725.0,6937549194.0,0.0,3.79,-16.75,3.89,1300.0,654760355625.0,5219510812.0,3948351713.0,1230355601.0,51.0,19668.0,9167.0,3.91,0.16,14.95,0.57,2.35,1.58,43.96672293825227,
