,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
285,285,41930,KOSDAQ,동아화성,고무제품 제조업,자동차용 고무부품,2001-12-26,12월,"임경식, 성락제",http://www.dahs.co.kr,경상남도,2021-05-11,75795778428.0,6287786349.0,2742127261.0,5110458728.0,0.0,8.3,3.62,6.74,78626672902.0,4848672967.0,15656559213.0,983275470.0,0.0,6.17,19.91,1.25,770.0,62897096727.0,3324694392.0,8684153749.0,-2927712232.0,0.0,5.29,13.81,-4.65,79002649021.0,3913044820.0,17162258817.0,2532224299.0,0.0,4.95,21.72,3.21,-50.0,261767846779.0,13266088088.0,15656559213.0,2434719119.0,154.0,8458.0,6924.0,5.34,1.06,9.1,2.23,3.0100000000000007,1.2199999999999998,20.507594741591543,874.1123534786752
132,132,24910,KOSDAQ,경창산업,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품",1994-12-29,12월,"손일호,이동현",http://www.kc.co.kr,대구광역시,2021-05-10,137187745158.0,6508967255.0,15763535593.0,3852306454.0,0.0,4.74,11.49,2.81,148675502937.0,12797160096.0,62012945434.0,9426176941.0,0.0,8.61,41.71,6.34,740.0,114004338170.0,-5559585306.0,7605804435.0,-5093748425.0,0.0,-4.88,6.67,-4.47,143365615507.0,-3909661174.0,37498578069.0,-53274163988.0,0.0,-2.73,26.16,-37.16,-3258.0,486425822327.0,13865840899.0,62012945434.0,4801775611.0,134.0,3270.0,2768.0,5.15,0.92,22.63,4.84,9.62,11.34,20.335548067854724,
85,85,263810,KOSDAQ,상신전자,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)",2017-10-16,12월,김승천,http://www.sangshin-e.com,경상남도,2021-05-13,26135078336.0,731537968.0,-1963339363.0,931552214.0,0.0,2.8,-7.51,3.56,23588374790.0,946429164.0,1680142057.0,315618359.0,0.0,4.01,7.12,1.34,174.0,21722671991.0,569251186.0,2818388512.0,700158812.0,0.0,2.62,12.97,3.22,19063590032.0,371282646.0,991582188.0,204395654.0,0.0,1.95,5.2,1.07,126.0,86519080992.0,3065797851.0,1680142057.0,2074350130.0,145.0,2590.0,2537.0,3.77,3.4,6.72,5.74,0.1799999999999997,2.06,20.312447505666523,
23,23,66910,KOSDAQ,손오공,기타 전문 도매업,"완구, 게임, 캐릭터수입수수료",2005-01-07,12월,김종완,http://www.sonokong.co.kr,경기도,2021-05-14,19316578588.0,503948011.0,1097078533.0,235992554.0,0.0,2.61,5.68,1.22,24931710269.0,-14975498.0,-1266696902.0,-270304794.0,0.0,-0.06,-5.08,-1.08,-2.0,16065914046.0,-964977862.0,2107610266.0,-1270725324.0,0.0,-6.01,13.12,-7.91,22467722757.0,-1626644952.0,-2999185052.0,-1423624822.0,0.0,-7.24,-13.35,-6.34,-200.0,85260555025.0,-1359026245.0,-1266696902.0,-1943557225.0,-72.0,838.0,836.0,-0.1,-3.65,-0.24,-8.64,8.62,7.180000000000001,20.233299721962176,
267,267,212560,KOSDAQ,네오오토,자동차 신품 부품 제조업,"피니언 기어, 디프 어셈블리, 대형기어",2015-11-18,12월,김원일,http://www.neooto.kr,서울특별시,2021-05-17,36105954914.0,1701864306.0,1228996109.0,1798969627.0,0.0,4.71,3.4,4.98,34116814457.0,1477099156.0,15079647673.0,877310797.0,0.0,4.33,44.2,2.57,678.0,30046503163.0,384976574.0,11140484814.0,750137174.0,0.0,1.28,37.08,2.5,31400584847.0,179255716.0,14000633049.0,816291456.0,0.0,0.57,44.59,2.6,396.0,117499435930.0,2956981038.0,15079647673.0,3544580663.0,450.0,10816.0,10501.0,3.8,2.45,6.27,4.29,3.43,3.76,20.166911663989428,
36,36,238120,KOSDAQ,얼라인드,사진장비 및 광학기기 제조업,"자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템",2016-11-03,12월,정연철,http://www.alignedgenetics.co.kr,경기도,2021-05-17,2224472711.0,54770935.0,925080435.0,1571372645.0,0.0,2.46,41.59,70.64,2549311887.0,110449883.0,35670904.0,701605892.0,0.0,4.33,1.4,27.52,632.0,1859440554.0,-113186562.0,-421268748.0,184482712.0,0.0,-6.09,-22.66,9.92,2075787891.0,-91619392.0,659286554.0,124021535.0,0.0,-4.41,31.76,5.97,84.0,7957134013.0,-253476359.0,35670904.0,468234116.0,65.0,3300.0,2985.0,15.03,1.84,19.15,2.18,8.55,8.74,19.63128943352066,
14,14,38290,KOSDAQ,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,이수강,http://www.macrogen.com,서울특별시,2021-05-17,34193565944.0,6206580739.0,2415755214.0,-2937868668.0,-2262865541.0,18.15,7.06,-8.59,19039582298.0,10429251412.0,20552506591.0,95873042840.0,3805496864.0,54.78,107.95,503.55,17344.0,28759931863.0,2003129867.0,-4550527963.0,-744042148.0,245858403.0,6.97,-15.82,-2.59,16518578563.0,3184321874.0,14495623086.0,-13908167609.0,3805496864.0,19.28,87.75,-84.2,-2734.0,112603453863.0,7161768385.0,20552506591.0,88336742832.0,8243.0,20599.0,18525.0,60.39,30.69,84.2,44.5,11.18,35.5,18.89307007709026,
212,212,41830,KOSDAQ,인바디,의료용 기기 제조업,정밀 체성분 분석기,2000-12-14,12월,차기철,http://www.inbody.com,서울특별시,2021-05-17,33037839146.0,10247968332.0,7123696299.0,10046691419.0,0.0,31.02,21.56,30.41,28930184250.0,6265951103.0,28500349902.0,6274976458.0,0.0,21.66,98.51,21.69,2384.0,27825933921.0,5589426718.0,5691650016.0,4944783486.0,0.0,20.09,20.45,17.77,31301479341.0,4952732391.0,24206000619.0,3248710868.0,0.0,15.82,77.33,10.38,1196.0,107122053678.0,19096757174.0,28500349902.0,17517981154.0,1280.0,12003.0,10976.0,17.78,10.54,19.86,11.66,10.93,5.84,18.730387414118805,
66,66,67310,KOSDAQ,하나마이크론,반도체 제조업,"반도체패키징,IOT",2005-10-11,12월,이동철,http://www.hanamicron.co.kr,충청남도,2021-05-17,143468622648.0,20217681967.0,33219993788.0,1352901483.0,0.0,14.09,23.15,0.94,149615264064.0,24556230775.0,82784287819.0,-16220676517.0,0.0,16.41,55.33,-10.84,0.0,120875706947.0,6269425398.0,10019468261.0,-5955576516.0,0.0,5.19,8.29,-4.93,131146290079.0,9438516663.0,71920942500.0,-11798336829.0,0.0,7.2,54.84,-9.0,0.0,539460193111.0,51011649582.0,82784287819.0,-16703483506.0,0.0,9.0,7.0,0.0,-2.18,0.0,-6.77,8.899999999999999,9.21,18.691030870997302,
426,426,81150,KOSDAQ,티플랙스,기타 금속 가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매",2009-04-23,12월,김영국,http://www.tplex.co.kr,경기도,2021-05-17,40047957338.0,2076952545.0,2253802158.0,1541624979.0,0.0,5.19,5.63,3.85,32875051870.0,1640892545.0,7262798051.0,1488792660.0,0.0,4.99,22.09,4.53,248.0,33743012373.0,1088175922.0,-1902145633.0,738995992.0,0.0,3.22,-5.64,2.19,33996926761.0,1160287814.0,3583392772.0,736071187.0,0.0,3.41,10.54,2.17,120.0,132616586031.0,4782732445.0,7262798051.0,3793887345.0,156.0,4276.0,4176.0,3.99,2.54,5.8,3.74,1.97,1.58,18.685187010881695,
